,Unnamed: 0,Route,Direction,Stop,Model,RMSE,MAE,Mean_MAE,Mean_RMSE
600,0,41D,2,277,lin_reg,1.5393270595867082e-13,1.3263464400855204e-13,7.066321281599783,9.58316173201324
601,1,41D,2,277,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
602,2,41D,2,277,random forest,25.395756425915817,15.388888888888888,7.066321281599783,9.58316173201324
1605,0,41D,1,1627,lin_reg,9.56175118108303e-13,8.206768598029157e-13,7.066321281599783,9.58316173201324
1606,1,41D,1,1627,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
1607,2,41D,1,1627,random forest,12.810585900383757,11.166666666666668,7.066321281599783,9.58316173201324
2907,0,41D,2,7603,lin_reg,2.144169892194976e-12,1.824910593010524e-12,7.066321281599783,9.58316173201324
2908,1,41D,2,7603,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
2909,2,41D,2,7603,random forest,4.9027581050911575,3.222222222222222,7.066321281599783,9.58316173201324
3441,0,41D,1,3675,lin_reg,7.142280010799062e-13,6.110667527536863e-13,7.066321281599783,9.58316173201324
3442,1,41D,1,3675,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
3443,2,41D,1,3675,random forest,5.238744548500565,4.166666666666661,7.066321281599783,9.58316173201324
3525,0,41D,2,47,lin_reg,3.669502091522677e-12,3.083755473198835e-12,7.066321281599783,9.58316173201324
3526,1,41D,2,47,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
3527,2,41D,2,47,random forest,17.156145643277025,11.22222222222222,7.066321281599783,9.58316173201324
3561,0,41D,1,18,lin_reg,4.959186181337647e-13,4.316547119742609e-13,7.066321281599783,9.58316173201324
3562,1,41D,1,18,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
3563,2,41D,1,18,random forest,7.3162680225493215,6.583333333333332,7.066321281599783,9.58316173201324
5739,0,41D,2,3699,lin_reg,7.224259600351277e-12,6.236535097871508e-12,7.066321281599783,9.58316173201324
5740,1,41D,2,3699,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
5741,2,41D,2,3699,random forest,11.63533207007657,6.619047619047618,7.066321281599783,9.58316173201324
6225,0,41D,2,1642,lin_reg,1.958831142032156e-14,1.7053025658242404e-14,7.066321281599783,9.58316173201324
6226,1,41D,2,1642,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
6227,2,41D,2,1642,random forest,2.804757862395017,2.133333333333333,7.066321281599783,9.58316173201324
6231,0,41D,1,1622,lin_reg,8.084263208077704e-13,7.003286839335487e-13,7.066321281599783,9.58316173201324
6232,1,41D,1,1622,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
6233,2,41D,1,1622,random forest,8.920949127381757,7.249999999999999,7.066321281599783,9.58316173201324
7671,0,41D,1,6054,lin_reg,9.04149926588324e-13,7.673861546209082e-13,7.066321281599783,9.58316173201324
7672,1,41D,1,6054,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
7673,2,41D,1,6054,random forest,15.687928834333457,15.666666666666666,7.066321281599783,9.58316173201324
8103,0,41D,2,288,lin_reg,2.4609233572944776e-12,2.013881125354341e-12,7.066321281599783,9.58316173201324
8104,1,41D,2,288,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
8105,2,41D,2,288,random forest,605.6101344269553,343.5714285714285,7.066321281599783,9.58316173201324
8754,0,41D,1,1171,lin_reg,1.2532169175906361e-12,1.0871303857129533e-12,7.066321281599783,9.58316173201324
8755,1,41D,1,1171,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
8756,2,41D,1,1171,random forest,38.8329756778952,34.0,7.066321281599783,9.58316173201324
10080,0,41D,1,3671,lin_reg,4.57790283344497e-13,4.014566457044566e-13,7.066321281599783,9.58316173201324
10081,1,41D,1,3671,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
10082,2,41D,1,3671,random forest,4.409585518440985,3.666666666666666,7.066321281599783,9.58316173201324
11442,0,41D,1,3676,lin_reg,1.441543946943484e-12,1.2221335055073725e-12,7.066321281599783,9.58316173201324
11443,1,41D,1,3676,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
11444,2,41D,1,3676,random forest,35.60313656594505,32.25,7.066321281599783,9.58316173201324
12138,0,41D,2,4432,lin_reg,1.9819387827669037e-12,1.6863547595373045e-12,7.066321281599783,9.58316173201324
12139,1,41D,2,4432,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
12140,2,41D,2,4432,random forest,4.37374320572546,2.722222222222222,7.066321281599783,9.58316173201324
12708,0,41D,1,1172,lin_reg,4.922784477141924e-13,4.263256414560601e-13,7.066321281599783,9.58316173201324
12709,1,41D,1,1172,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
12710,2,41D,1,1172,random forest,7.661229956374136,6.916666666666667,7.066321281599783,9.58316173201324
13005,0,41D,1,7602,lin_reg,7.808134046481582e-13,6.732392421326949e-13,7.066321281599783,9.58316173201324
13006,1,41D,1,7602,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
13007,2,41D,1,7602,random forest,8.139410298049853,7.75,7.066321281599783,9.58316173201324
13440,0,41D,1,5073,lin_reg,1.4371945416963321e-12,1.2363443602225745e-12,7.066321281599783,9.58316173201324
13441,1,41D,1,5073,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
13442,2,41D,1,5073,random forest,12.484434753368332,11.583333333333332,7.066321281599783,9.58316173201324
14001,0,41D,2,52,lin_reg,5.297546817032111e-12,4.494182803682634e-12,7.066321281599783,9.58316173201324
14002,1,41D,2,52,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
14003,2,41D,2,52,random forest,13.935034452242489,10.333333333333332,7.066321281599783,9.58316173201324
14817,0,41D,2,1635,lin_reg,2.912358572177595e-14,2.5579538487363607e-14,7.066321281599783,9.58316173201324
14818,1,41D,2,1635,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
14819,2,41D,2,1635,random forest,7.767453465154031,5.133333333333336,7.066321281599783,9.58316173201324
15720,0,41D,2,1638,lin_reg,6.882515148238468e-13,5.798028723802417e-13,7.066321281599783,9.58316173201324
15721,1,41D,2,1638,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
15722,2,41D,2,1638,random forest,12.287301484775972,8.400000000000002,7.066321281599783,9.58316173201324
15849,0,41D,2,51,lin_reg,1.3528395330957391e-11,1.152974012560056e-11,7.066321281599783,9.58316173201324
15850,1,41D,2,51,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
15851,2,41D,2,51,random forest,20.40560925061756,15.83333333333333,7.066321281599783,9.58316173201324
16050,0,41D,1,3674,lin_reg,5.030823212396433e-13,4.227729277772596e-13,7.066321281599783,9.58316173201324
16051,1,41D,1,3674,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
16052,2,41D,1,3674,random forest,15.102428060856088,13.750000000000002,7.066321281599783,9.58316173201324
17259,0,41D,2,48,lin_reg,2.459279491473285e-12,2.0558369821325564e-12,7.066321281599783,9.58316173201324
17260,1,41D,2,48,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
17261,2,41D,2,48,random forest,8.928730157319249,7.055555555555556,7.066321281599783,9.58316173201324
17427,0,41D,2,5079,lin_reg,2.8421709430404014e-14,1.4210854715202004e-14,7.066321281599783,9.58316173201324
17428,1,41D,2,5079,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
17429,2,41D,2,5079,random forest,10.337364804973811,9.416666666666671,7.066321281599783,9.58316173201324
18888,0,41D,1,19,lin_reg,1.5239443903799965e-13,1.3500311979441906e-13,7.066321281599783,9.58316173201324
18889,1,41D,1,19,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
18890,2,41D,1,19,random forest,10.969655114602888,9.499999999999998,7.066321281599783,9.58316173201324
19227,0,41D,1,203,lin_reg,1.729511229019423e-12,1.4956924587750109e-12,7.066321281599783,9.58316173201324
19228,1,41D,1,203,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
19229,2,41D,1,203,random forest,16.909070544138928,14.75,7.066321281599783,9.58316173201324
20469,0,41D,2,46,lin_reg,1.0020036609148277e-11,8.483880264975596e-12,7.066321281599783,9.58316173201324
20470,1,41D,2,46,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
20471,2,41D,2,46,random forest,13.025615788386617,10.000000000000002,7.066321281599783,9.58316173201324
21324,0,41D,2,3695,lin_reg,1.101095109736151e-11,9.354802646807264e-12,7.066321281599783,9.58316173201324
21325,1,41D,2,3695,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
21326,2,41D,2,3695,random forest,23.97485455208541,13.047619047619047,7.066321281599783,9.58316173201324
22068,0,41D,2,1634,lin_reg,3.216216575455896e-13,2.678746113815578e-13,7.066321281599783,9.58316173201324
22069,1,41D,2,1634,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
22070,2,41D,2,1634,random forest,8.537498983243799,6.133333333333334,7.066321281599783,9.58316173201324
22842,0,41D,2,1641,lin_reg,6.095777561519987e-14,5.1159076974727215e-14,7.066321281599783,9.58316173201324
22843,1,41D,2,1641,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
22844,2,41D,2,1641,random forest,7.754568545917522,4.933333333333335,7.066321281599783,9.58316173201324
23133,0,41D,2,1637,lin_reg,8.03887338846093e-14,6.821210263296963e-14,7.066321281599783,9.58316173201324
23134,1,41D,2,1637,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
23135,2,41D,2,1637,random forest,8.77876225140348,6.266666666666668,7.066321281599783,9.58316173201324
23913,0,41D,2,3694,lin_reg,3.288819593752352e-11,2.8762769943568856e-11,7.066321281599783,9.58316173201324
23914,1,41D,2,3694,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
23915,2,41D,2,3694,random forest,211.37582818463596,147.11111111111111,7.066321281599783,9.58316173201324
24096,0,41D,1,204,lin_reg,1.0284477146264329e-13,8.526512829121202e-14,7.066321281599783,9.58316173201324
24097,1,41D,1,204,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
24098,2,41D,1,204,random forest,4.666666666666666,3.333333333333333,7.066321281599783,9.58316173201324
25248,0,41D,2,3697,lin_reg,7.9371699172522e-12,6.5613546342189816e-12,7.066321281599783,9.58316173201324
25249,1,41D,2,3697,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
25250,2,41D,2,3697,random forest,6.074928962939559,3.7619047619047614,7.066321281599783,9.58316173201324
25674,0,41D,2,3696,lin_reg,1.2041301612145263e-11,1.0069405626771704e-11,7.066321281599783,9.58316173201324
25675,1,41D,2,3696,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
25676,2,41D,2,3696,random forest,32.919333828049126,20.95238095238096,7.066321281599783,9.58316173201324
25902,0,41D,1,1174,lin_reg,3.123156627656828e-13,2.629008122312371e-13,7.066321281599783,9.58316173201324
25903,1,41D,1,1174,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
25904,2,41D,1,1174,random forest,13.115936023699485,13.083333333333334,7.066321281599783,9.58316173201324
25923,0,41D,1,21,lin_reg,7.487380953716349e-13,6.252776074688883e-13,7.066321281599783,9.58316173201324
25924,1,41D,1,21,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
25925,2,41D,1,21,random forest,21.661537854506594,20.333333333333336,7.066321281599783,9.58316173201324
26103,0,41D,2,1636,lin_reg,4.2537719614005497e-13,3.637978807091713e-13,7.066321281599783,9.58316173201324
26104,1,41D,2,1636,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
26105,2,41D,2,1636,random forest,30.516298013429555,18.53333333333334,7.066321281599783,9.58316173201324
26160,0,41D,2,49,lin_reg,7.987052940056815e-12,6.694496808753077e-12,7.066321281599783,9.58316173201324
26161,1,41D,2,49,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
26162,2,41D,2,49,random forest,20.8539897594894,13.555555555555555,7.066321281599783,9.58316173201324
26709,0,41D,1,1626,lin_reg,1.5303249735834669e-12,1.3145040611561853e-12,7.066321281599783,9.58316173201324
26710,1,41D,1,1626,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
26711,2,41D,1,1626,random forest,10.6000524107719,10.083333333333336,7.066321281599783,9.58316173201324
27801,0,41D,2,5053,lin_reg,3.06440862414772e-13,2.629008122312371e-13,7.066321281599783,9.58316173201324
27802,1,41D,2,5053,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
27803,2,41D,2,5053,random forest,16.639143941654904,16.083333333333336,7.066321281599783,9.58316173201324
27816,0,41D,2,213,lin_reg,1.5856410303471617e-13,1.2789769243681806e-13,7.066321281599783,9.58316173201324
27817,1,41D,2,213,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
27818,2,41D,2,213,random forest,10.245866375167,7.333333333333333,7.066321281599783,9.58316173201324
27882,0,41D,1,1624,lin_reg,4.908405355527788e-13,4.192202140984591e-13,7.066321281599783,9.58316173201324
27883,1,41D,1,1624,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
27884,2,41D,1,1624,random forest,17.561795656101534,16.25,7.066321281599783,9.58316173201324
29535,0,41D,1,1630,lin_reg,3.74099232120903e-13,3.3395508580724714e-13,7.066321281599783,9.58316173201324
29536,1,41D,1,1630,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
29537,2,41D,1,1630,random forest,15.714466088430887,14.166666666666664,7.066321281599783,9.58316173201324
30141,0,41D,1,1628,lin_reg,2.09579997143587e-13,1.7763568394002505e-13,7.066321281599783,9.58316173201324
30142,1,41D,1,1628,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
30143,2,41D,1,1628,random forest,6.324555320336759,6.0,7.066321281599783,9.58316173201324
30282,0,41D,2,44,lin_reg,2.9195338399490087e-12,2.478609909909816e-12,7.066321281599783,9.58316173201324
30283,1,41D,2,44,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
30284,2,41D,2,44,random forest,16.797817318528818,11.055555555555555,7.066321281599783,9.58316173201324
31878,0,41D,1,4330,lin_reg,2.8421709430404014e-14,2.8421709430404014e-14,7.066321281599783,9.58316173201324
31879,1,41D,1,4330,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
31880,2,41D,1,4330,random forest,18.63389981249825,12.5,7.066321281599783,9.58316173201324
32037,0,41D,1,7189,lin_reg,4.225955534319919e-12,3.0411229090532288e-12,7.066321281599783,9.58316173201324
32038,1,41D,1,7189,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
32039,2,41D,1,7189,random forest,186.0927188258584,180.5,7.066321281599783,9.58316173201324
32121,0,41D,1,1175,lin_reg,1.349881601711481e-12,1.1723955140041653e-12,7.066321281599783,9.58316173201324
32122,1,41D,1,1175,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
32123,2,41D,1,1175,random forest,15.195942440884233,13.416666666666666,7.066321281599783,9.58316173201324
32481,0,41D,1,220,lin_reg,1.6348197158524305e-12,1.4175327578414e-12,7.066321281599783,9.58316173201324
32482,1,41D,1,220,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
32483,2,41D,1,220,random forest,12.047360245667468,11.583333333333336,7.066321281599783,9.58316173201324
32595,0,41D,1,1625,lin_reg,1.123781236595761e-12,9.805489753489385e-13,7.066321281599783,9.58316173201324
32596,1,41D,1,1625,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
32597,2,41D,1,1625,random forest,15.801722831528354,13.916666666666666,7.066321281599783,9.58316173201324
33015,0,41D,1,205,lin_reg,8.69145098841178e-14,7.460698725481053e-14,7.066321281599783,9.58316173201324
33016,1,41D,1,205,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
33017,2,41D,1,205,random forest,3.2360813064912666,3.083333333333333,7.066321281599783,9.58316173201324
33234,0,41D,2,231,lin_reg,3.275286028585454e-13,2.728484105318785e-13,7.066321281599783,9.58316173201324
33235,1,41D,2,231,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
33236,2,41D,2,231,random forest,20.0549245822566,13.133333333333333,7.066321281599783,9.58316173201324
33378,0,41D,2,3698,lin_reg,7.574844516865199e-12,6.59383658785373e-12,7.066321281599783,9.58316173201324
33379,1,41D,2,3698,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
33380,2,41D,2,3698,random forest,10.127755357009203,5.714285714285715,7.066321281599783,9.58316173201324
33507,0,41D,1,1173,lin_reg,9.729507111180989e-14,8.526512829121202e-14,7.066321281599783,9.58316173201324
33508,1,41D,1,1173,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
33509,2,41D,1,1173,random forest,13.467037948677174,10.75,7.066321281599783,9.58316173201324
33750,0,41D,1,1623,lin_reg,8.169310410413942e-14,7.016609515630989e-14,7.066321281599783,9.58316173201324
33751,1,41D,1,1623,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
33752,2,41D,1,1623,random forest,0.8819171036881968,0.833333333333333,7.066321281599783,9.58316173201324
34038,0,41D,2,214,lin_reg,7.254600736182883e-12,6.153300091682468e-12,7.066321281599783,9.58316173201324
34039,1,41D,2,214,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
34040,2,41D,2,214,random forest,15.964660045562209,11.611111111111107,7.066321281599783,9.58316173201324
34746,0,41D,2,45,lin_reg,2.7912424332071305e-12,2.3542649311517985e-12,7.066321281599783,9.58316173201324
34747,1,41D,2,45,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
34748,2,41D,2,45,random forest,7.959387655583302,5.611111111111111,7.066321281599783,9.58316173201324
34935,0,41D,1,1620,lin_reg,2.275601164727545e-12,1.9610979506978765e-12,7.066321281599783,9.58316173201324
34936,1,41D,1,1620,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
34937,2,41D,1,1620,random forest,30.32783833011805,26.0,7.066321281599783,9.58316173201324
35733,0,41D,1,1629,lin_reg,1.490447016536438e-13,1.2789769243681806e-13,7.066321281599783,9.58316173201324
35734,1,41D,1,1629,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
35735,2,41D,1,1629,random forest,6.867799259345508,5.833333333333336,7.066321281599783,9.58316173201324
36060,0,41D,2,3885,lin_reg,6.877441262688589e-13,6.110667527536863e-13,7.066321281599783,9.58316173201324
36061,1,41D,2,3885,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
36062,2,41D,2,3885,random forest,22.132716572014896,14.047619047619047,7.066321281599783,9.58316173201324
37251,0,41D,1,5074,lin_reg,1.167675977565693e-13,1.021405182655144e-13,7.066321281599783,9.58316173201324
37252,1,41D,1,5074,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
37253,2,41D,1,5074,random forest,1.922093765778467,1.583333333333334,7.066321281599783,9.58316173201324
37326,0,41D,2,119,lin_reg,7.736695671324939e-12,6.539361644778789e-12,7.066321281599783,9.58316173201324
37327,1,41D,2,119,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
37328,2,41D,2,119,random forest,14.923260491719082,9.888888888888888,7.066321281599783,9.58316173201324
37497,0,41D,1,3672,lin_reg,1.2388735920980804e-13,1.1368683772161605e-13,7.066321281599783,9.58316173201324
37498,1,41D,1,3672,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
37499,2,41D,1,3672,random forest,1.1666666666666754,1.0833333333333428,7.066321281599783,9.58316173201324
37512,0,41D,1,3670,lin_reg,4.2323542322252e-13,3.765876499528531e-13,7.066321281599783,9.58316173201324
37513,1,41D,1,3670,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
37514,2,41D,1,3670,random forest,16.734860488081626,15.166666666666668,7.066321281599783,9.58316173201324
37770,0,41D,1,17,lin_reg,1.2431046189151993e-12,1.0658141036401505e-12,7.066321281599783,9.58316173201324
37771,1,41D,1,17,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
37772,2,41D,1,17,random forest,22.321514285549718,22.25,7.066321281599783,9.58316173201324
37887,0,41D,1,15,lin_reg,4.617981178760124e-13,3.979039320256561e-13,7.066321281599783,9.58316173201324
37888,1,41D,1,15,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
37889,2,41D,1,15,random forest,54.094310647649856,50.91666666666667,7.066321281599783,9.58316173201324
38022,0,41D,2,1640,lin_reg,1.530555893832145e-13,1.1937117960769686e-13,7.066321281599783,9.58316173201324
38023,1,41D,2,1640,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
38024,2,41D,2,1640,random forest,29.99740729537212,23.0,7.066321281599783,9.58316173201324
38487,0,41D,2,1633,lin_reg,3.374891004750088e-13,2.415845301584341e-13,7.066321281599783,9.58316173201324
38488,1,41D,2,1633,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
38489,2,41D,2,1633,random forest,84.3553989578221,73.49999999999999,7.066321281599783,9.58316173201324
38544,0,41D,2,1639,lin_reg,3.5973397035142494e-13,3.1263880373444413e-13,7.066321281599783,9.58316173201324
38545,1,41D,2,1639,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
38546,2,41D,2,1639,random forest,11.517136989913965,8.333333333333334,7.066321281599783,9.58316173201324
39027,0,41D,1,85,lin_reg,1.3019035493634342e-12,1.1297629498585593e-12,7.066321281599783,9.58316173201324
39028,1,41D,1,85,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
39029,2,41D,1,85,random forest,11.372481406154654,10.0,7.066321281599783,9.58316173201324
